Comment,Designator,Footprint,LCSC
1uF,"C6-0,C6-1,C8-0,C8-1",C_0402_1005Metric,C29266
FH34SRJ-12S-0.5SH_50_,"J2-0,J2-1",HRS_FH34SRJ-12S-0.5SH_50_,C424659
D_TVS,"D1-0,D1-1,D2-0,D2-1,D3-0,D3-1,D4-0,D4-1,D5-0,D5-1",D_0402_1005Metric,C468904
74AHC125BQ_115,"U3-0,U3-1,U4-0,U4-1",QFN50P300X250X100-15N,C554218
10k,"R2-0,R2-1,R24-0,R24-1,R4-0,R4-1,R8-0,R8-1",R_0402_1005Metric,C60490
12.000MHz,"Y1-0,Y1-1",Crystal_SMD_3225-4Pin_3.2x2.5mm,C7294551
15pF,"C1-0,C1-1,C2-0,C2-1",C_0402_1005Metric,C76950
Polyfuse 600mA,"F1-0,F1-1",R_1206_3216Metric,C883122
Polyfuse 200mA,"F2-0,F2-1",R_1206_3216Metric,C910826
Fiducial,KiKit_FID_B_4,Fiducial,
Fiducial,KiKit_FID_B_2,Fiducial,
Fiducial,KiKit_FID_B_3,Fiducial,
Fiducial,KiKit_FID_B_1,Fiducial,
NPTH,KiKit_MB_48_6,NPTH,
NPTH,KiKit_MB_32_2,NPTH,
NPTH,KiKit_MB_34_2,NPTH,
NPTH,KiKit_MB_27_2,NPTH,
NPTH,KiKit_MB_39_2,NPTH,
NPTH,KiKit_MB_46_7,NPTH,
NPTH,KiKit_MB_34_4,NPTH,
NPTH,KiKit_MB_37_4,NPTH,
NPTH,KiKit_MB_25_1,NPTH,
NPTH,KiKit_MB_45_5,NPTH,
NPTH,KiKit_MB_38_4,NPTH,
NPTH,KiKit_MB_41_1,NPTH,
NPTH,KiKit_MB_36_1,NPTH,
NPTH,KiKit_MB_33_4,NPTH,
NPTH,KiKit_MB_48_2,NPTH,
NPTH,KiKit_MB_12_4,NPTH,
Fiducial,KiKit_FID_T_3,Fiducial,
NPTH,KiKit_MB_25_4,NPTH,
NPTH,KiKit_MB_40_4,NPTH,
NPTH,KiKit_MB_48_7,NPTH,
NPTH,KiKit_MB_23_2,NPTH,
NPTH,KiKit_MB_21_2,NPTH,
NPTH,KiKit_MB_5_4,NPTH,
NPTH,KiKit_TO_3,NPTH,
NPTH,KiKit_MB_9_3,NPTH,
NPTH,KiKit_MB_3_1,NPTH,
NPTH,KiKit_MB_36_3,NPTH,
NPTH,KiKit_MB_21_1,NPTH,
NPTH,KiKit_MB_43_3,NPTH,
NPTH,KiKit_MB_41_3,NPTH,
NPTH,KiKit_MB_14_3,NPTH,
NPTH,KiKit_MB_16_2,NPTH,
NPTH,KiKit_MB_20_1,NPTH,
NPTH,KiKit_MB_29_2,NPTH,
NPTH,KiKit_MB_17_2,NPTH,
NPTH,KiKit_MB_38_2,NPTH,
NPTH,KiKit_MB_10_1,NPTH,
NPTH,KiKit_MB_47_4,NPTH,
NPTH,KiKit_MB_45_7,NPTH,
NPTH,KiKit_MB_46_5,NPTH,
NPTH,KiKit_MB_4_3,NPTH,
NPTH,KiKit_MB_23_4,NPTH,
NPTH,KiKit_MB_23_1,NPTH,
NPTH,KiKit_MB_8_1,NPTH,
NPTH,KiKit_MB_39_3,NPTH,
NPTH,KiKit_MB_42_2,NPTH,
NPTH,KiKit_MB_5_3,NPTH,
NPTH,KiKit_MB_42_4,NPTH,
NPTH,KiKit_MB_43_4,NPTH,
Fiducial,KiKit_FID_T_1,Fiducial,
NPTH,KiKit_MB_24_3,NPTH,
NPTH,KiKit_MB_14_4,NPTH,
NPTH,KiKit_MB_25_3,NPTH,
NPTH,KiKit_MB_46_2,NPTH,
NPTH,KiKit_MB_26_1,NPTH,
NPTH,KiKit_MB_5_1,NPTH,
NPTH,KiKit_MB_4_4,NPTH,
NPTH,KiKit_MB_7_1,NPTH,
NPTH,KiKit_MB_44_3,NPTH,
NPTH,KiKit_MB_31_2,NPTH,
NPTH,KiKit_MB_31_1,NPTH,
NPTH,KiKit_MB_27_3,NPTH,
NPTH,KiKit_MB_10_3,NPTH,
NPTH,KiKit_MB_4_2,NPTH,
NPTH,KiKit_MB_19_1,NPTH,
NPTH,KiKit_MB_12_2,NPTH,
NPTH,KiKit_MB_13_1,NPTH,
NPTH,KiKit_MB_3_4,NPTH,
NPTH,KiKit_MB_23_3,NPTH,
NPTH,KiKit_MB_48_4,NPTH,
NPTH,KiKit_MB_47_1,NPTH,
NPTH,KiKit_MB_35_3,NPTH,
NPTH,KiKit_MB_38_1,NPTH,
NPTH,KiKit_MB_34_1,NPTH,
NPTH,KiKit_MB_24_1,NPTH,
NPTH,KiKit_MB_44_1,NPTH,
NPTH,KiKit_TO_1,NPTH,
NPTH,KiKit_MB_20_2,NPTH,
NPTH,KiKit_MB_47_2,NPTH,
NPTH,KiKit_MB_10_4,NPTH,
NPTH,KiKit_MB_24_2,NPTH,
NPTH,KiKit_MB_6_2,NPTH,
NPTH,KiKit_MB_28_2,NPTH,
NPTH,KiKit_MB_41_5,NPTH,
NPTH,KiKit_MB_11_3,NPTH,
NPTH,KiKit_MB_32_3,NPTH,
NPTH,KiKit_MB_42_3,NPTH,
NPTH,KiKit_MB_28_4,NPTH,
NPTH,KiKit_MB_15_4,NPTH,
NPTH,KiKit_MB_41_4,NPTH,
NPTH,KiKit_MB_37_3,NPTH,
NPTH,KiKit_MB_29_1,NPTH,
NPTH,KiKit_MB_17_1,NPTH,
NPTH,KiKit_MB_12_3,NPTH,
NPTH,KiKit_MB_45_6,NPTH,
NPTH,KiKit_MB_43_6,NPTH,
NPTH,KiKit_MB_15_1,NPTH,
NPTH,KiKit_MB_47_6,NPTH,
NPTH,KiKit_MB_45_2,NPTH,
NPTH,KiKit_MB_1_4,NPTH,
NPTH,KiKit_MB_7_4,NPTH,
NPTH,KiKit_MB_47_5,NPTH,
NPTH,KiKit_MB_31_3,NPTH,
NPTH,KiKit_MB_26_2,NPTH,
NPTH,KiKit_MB_26_3,NPTH,
NPTH,KiKit_MB_3_3,NPTH,
NPTH,KiKit_MB_2_4,NPTH,
NPTH,KiKit_MB_35_4,NPTH,
NPTH,KiKit_MB_42_1,NPTH,
NPTH,KiKit_MB_44_2,NPTH,
NPTH,KiKit_MB_9_4,NPTH,
NPTH,KiKit_MB_10_2,NPTH,
NPTH,KiKit_MB_42_7,NPTH,
NPTH,KiKit_MB_18_1,NPTH,
NPTH,KiKit_MB_31_4,NPTH,
NPTH,KiKit_MB_7_3,NPTH,
NPTH,KiKit_TO_2,NPTH,
NPTH,KiKit_MB_47_7,NPTH,
NPTH,KiKit_MB_43_2,NPTH,
NPTH,KiKit_MB_43_7,NPTH,
NPTH,KiKit_MB_29_4,NPTH,
NPTH,KiKit_MB_3_2,NPTH,
NPTH,KiKit_MB_35_2,NPTH,
NPTH,KiKit_MB_18_2,NPTH,
NPTH,KiKit_MB_26_4,NPTH,
NPTH,KiKit_MB_39_1,NPTH,
NPTH,KiKit_MB_35_1,NPTH,
NPTH,KiKit_MB_33_1,NPTH,
NPTH,KiKit_MB_41_2,NPTH,
NPTH,KiKit_MB_29_3,NPTH,
NPTH,KiKit_MB_40_1,NPTH,
NPTH,KiKit_MB_40_2,NPTH,
NPTH,KiKit_MB_28_3,NPTH,
NPTH,KiKit_MB_1_3,NPTH,
NPTH,KiKit_MB_33_3,NPTH,
NPTH,KiKit_MB_2_3,NPTH,
NPTH,KiKit_MB_22_4,NPTH,
NPTH,KiKit_MB_30_3,NPTH,
NPTH,KiKit_MB_44_4,NPTH,
NPTH,KiKit_MB_8_4,NPTH,
Fiducial,KiKit_FID_T_4,Fiducial,
NPTH,KiKit_MB_14_2,NPTH,
NPTH,KiKit_MB_47_3,NPTH,
NPTH,KiKit_MB_42_6,NPTH,
NPTH,KiKit_MB_16_3,NPTH,
NPTH,KiKit_MB_44_7,NPTH,
NPTH,KiKit_MB_16_1,NPTH,
NPTH,KiKit_MB_24_4,NPTH,
NPTH,KiKit_MB_36_2,NPTH,
NPTH,KiKit_MB_46_4,NPTH,
NPTH,KiKit_MB_17_4,NPTH,
NPTH,KiKit_MB_13_2,NPTH,
NPTH,KiKit_MB_30_4,NPTH,
NPTH,KiKit_MB_30_2,NPTH,
NPTH,KiKit_MB_9_2,NPTH,
NPTH,KiKit_MB_2_2,NPTH,
NPTH,KiKit_MB_11_2,NPTH,
NPTH,KiKit_TO_4,NPTH,
NPTH,KiKit_MB_13_3,NPTH,
NPTH,KiKit_MB_27_4,NPTH,
NPTH,KiKit_MB_22_3,NPTH,
NPTH,KiKit_MB_30_1,NPTH,
Fiducial,KiKit_FID_T_2,Fiducial,
NPTH,KiKit_MB_6_4,NPTH,
NPTH,KiKit_MB_20_4,NPTH,
NPTH,KiKit_MB_19_3,NPTH,
NPTH,KiKit_MB_19_4,NPTH,
NPTH,KiKit_MB_1_2,NPTH,
NPTH,KiKit_MB_21_3,NPTH,
NPTH,KiKit_MB_37_2,NPTH,
NPTH,KiKit_MB_18_3,NPTH,
NPTH,KiKit_MB_19_2,NPTH,
NPTH,KiKit_MB_6_3,NPTH,
NPTH,KiKit_MB_48_1,NPTH,
NPTH,KiKit_MB_43_1,NPTH,
NPTH,KiKit_MB_8_3,NPTH,
NPTH,KiKit_MB_43_5,NPTH,
NPTH,KiKit_MB_39_4,NPTH,
NPTH,KiKit_MB_11_4,NPTH,
NPTH,KiKit_MB_41_7,NPTH,
NPTH,KiKit_MB_14_1,NPTH,
NPTH,KiKit_MB_17_3,NPTH,
NPTH,KiKit_MB_32_1,NPTH,
NPTH,KiKit_MB_16_4,NPTH,
NPTH,KiKit_MB_28_1,NPTH,
NPTH,KiKit_MB_15_2,NPTH,
NPTH,KiKit_MB_42_5,NPTH,
NPTH,KiKit_MB_36_4,NPTH,
NPTH,KiKit_MB_21_4,NPTH,
NPTH,KiKit_MB_32_4,NPTH,
NPTH,KiKit_MB_6_1,NPTH,
NPTH,KiKit_MB_8_2,NPTH,
NPTH,KiKit_MB_46_6,NPTH,
NPTH,KiKit_MB_37_1,NPTH,
NPTH,KiKit_MB_20_3,NPTH,
NPTH,KiKit_MB_45_4,NPTH,
NPTH,KiKit_MB_48_5,NPTH,
NPTH,KiKit_MB_1_1,NPTH,
NPTH,KiKit_MB_27_1,NPTH,
NPTH,KiKit_MB_2_1,NPTH,
NPTH,KiKit_MB_11_1,NPTH,
NPTH,KiKit_MB_5_2,NPTH,
NPTH,KiKit_MB_9_1,NPTH,
NPTH,KiKit_MB_46_3,NPTH,
NPTH,KiKit_MB_34_3,NPTH,
NPTH,KiKit_MB_38_3,NPTH,
NPTH,KiKit_MB_22_1,NPTH,
NPTH,KiKit_MB_15_3,NPTH,
NPTH,KiKit_MB_25_2,NPTH,
NPTH,KiKit_MB_13_4,NPTH,
NPTH,KiKit_MB_48_3,NPTH,
NPTH,KiKit_MB_22_2,NPTH,
NPTH,KiKit_MB_40_3,NPTH,
NPTH,KiKit_MB_12_1,NPTH,
NPTH,KiKit_MB_41_6,NPTH,
NPTH,KiKit_MB_44_5,NPTH,
NPTH,KiKit_MB_4_1,NPTH,
NPTH,KiKit_MB_45_1,NPTH,
NPTH,KiKit_MB_46_1,NPTH,
NPTH,KiKit_MB_44_6,NPTH,
NPTH,KiKit_MB_18_4,NPTH,
NPTH,KiKit_MB_45_3,NPTH,
NPTH,KiKit_MB_33_2,NPTH,
NPTH,KiKit_MB_7_2,NPTH,
